LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8628787878787879,0.8691928904428904,0.7257575757575758,0.8846320346320347,0.8864383632240775
LOO2,0.6934095022624435,0.7106749214967428,0.3868190045248869,0.731473604826546,0.7296423502226045
LOO3,0.7145281392959818,0.7325825326469648,0.42905627859196355,0.7166746188354063,0.7494865033835425
LOO4,0.8864285714285713,0.9243482443482443,0.7488235294117647,0.7466666666666667,0.7885416666666666
LOO5,0.9233333333333332,0.9253146853146854,0.8444768289128535,0.9083333333333332,0.9289351851851851
LOO6,0.8487445887445887,0.8721428571428571,0.6712616926009665,0.75,0.9151709401709403
LOO7,0.7370868347338935,0.8033523665876607,0.4713233361100809,0.6094444444444445,0.8224662004662004
LOO8,0.8055555555555556,0.8425390509873267,0.611111111111111,0.8777777777777779,0.828395061728395
LOO9,0.9444444444444444,0.9484415584415584,0.888888888888889,0.9777777777777779,0.9851851851851852
LOO10,0.64625,0.6615468015816314,0.27716092572658774,0.5007592592592592,0.6886625175175175
LOO11,0.75,0.7597954822954822,0.5,0.6555555555555556,0.7592592592592593
LOO12,0.7777777777777777,0.8445580226225389,0.5555555555555556,0.611111111111111,0.8839506172839506
