LOO,Accuracy,Precision,AUROC,Specificity,Kappa
LOO1,0.5512820512820513,0.6,0.6349441157133464,0.7948717938527285,0.10256410256410253
LOO2,0.6481481481481481,0.6408450704225352,0.6994787379972566,0.6222222217613169,0.2962962962962963
LOO3,0.5742049469964664,0.5492957746478874,0.5540710959058048,0.3215547702043976,0.14840989399293292
LOO4,0.7244897959183674,0.6764705882352942,0.7580308719232374,0.5319148924852874,0.44011849344054177
LOO5,0.7319587628865979,0.6911764705882353,0.8166666666666667,0.5333333321481482,0.4478984238178635
LOO6,0.5714285714285714,0.6056338028169014,0.5322222222222223,0.3777777769382716,0.09742120343839533
LOO7,0.6836734693877551,0.676923076923077,0.6561447811447811,0.5227272715392561,0.3455407152089617
LOO8,0.4111111111111111,0.4375,0.36444444444444446,0.1999999997777778,-0.1777777777777778
LOO9,0.7333333333333333,0.6909090909090909,0.7661728395061729,0.6222222215308643,0.4666666666666667
LOO10,0.4336283185840708,0.4418604651162791,0.5225988700564972,0.5555555550411523,-0.12089274643521408
LOO11,0.75,0.6829268292682927,0.8766666666666667,0.5666666660370371,0.5
LOO12,0.6666666666666666,0.65625,0.6618518518518519,0.6333333326296297,0.33333333333333337
