LOO,Accuracy,Precision,AUROC,Specificity,Kappa
LOO1,0.5961538461538461,0.7142857142857143,0.6339579224194608,0.8717948706771861,0.1923076923076923
LOO2,0.662962962962963,0.664179104477612,0.6827434842249658,0.6666666661728395,0.32592592592592595
LOO3,0.5865724381625441,0.559610705596107,0.5562436789072157,0.3604240281411929,0.17314487632508835
LOO4,0.7755102040816326,0.7164179104477612,0.7968293700458907,0.595744679583522,0.5441860465116279
LOO5,0.7525773195876289,0.7058823529411765,0.7863247863247863,0.5555555543209877,0.49036777583187396
LOO6,0.5619047619047619,0.6,0.5292592592592592,0.3777777769382716,0.07999999999999996
LOO7,0.6428571428571429,0.6557377049180327,0.6506734006734006,0.5227272715392561,0.26740709098675786
LOO8,0.40555555555555556,0.4297520661157025,0.32049382716049385,0.23333333307407408,-0.18888888888888888
LOO9,0.6888888888888889,0.67,0.731604938271605,0.6333333326296297,0.37777777777777777
LOO10,0.4026548672566372,0.38666666666666666,0.4966258631512869,0.574074073542524,-0.1771741646731999
LOO11,0.7722222222222223,0.7058823529411765,0.8728395061728396,0.6111111104320988,0.5444444444444445
LOO12,0.6833333333333333,0.6736842105263158,0.6795061728395062,0.6555555548271605,0.3666666666666667
