LOO,Accuracy,Precision,AUROC,Specificity,Kappa
LOO1,0.6346153846153846,0.64,0.7159763313609467,0.6538461530078896,0.2692307692307693
LOO2,0.6555555555555556,0.6179775280898876,0.6570370370370371,0.4962962959286694,0.3111111111111111
LOO3,0.5724381625441696,0.554089709762533,0.5621246363420694,0.40282685498133325,0.14487632508833925
LOO4,0.6428571428571429,0.6176470588235294,0.6808510638297872,0.44680850968764146,0.27422767668218373
LOO5,0.6907216494845361,0.6896551724137931,0.7284188034188034,0.5999999986666666,0.3725743855109961
LOO6,0.45714285714285713,0.5333333333333333,0.4525925925925926,0.5333333321481482,-0.06400000000000006
LOO7,0.5612244897959183,0.5753424657534246,0.5441919191919191,0.2954545447830578,0.07628233231039028
LOO8,0.3611111111111111,0.3983739837398374,0.22777777777777775,0.17777777758024693,-0.2777777777777777
LOO9,0.65,0.6194690265486725,0.6474074074074074,0.5222222216419753,0.30000000000000004
LOO10,0.5486725663716814,0.5740740740740741,0.538135593220339,0.574074073542524,0.09910895732374547
LOO11,0.65,0.6115702479338843,0.6567901234567901,0.4777777772469136,0.30000000000000004
LOO12,0.6333333333333333,0.6111111111111112,0.5928395061728394,0.5333333327407408,0.2666666666666667
