LOO,Accuracy,Precision,AUROC,Specificity,Kappa
LOO1,0.5576923076923077,0.6363636363636364,0.49728796844181455,0.8461538450690336,0.11538461538461542
LOO2,0.5592592592592592,0.5740740740740741,0.591440329218107,0.6592592587709191,0.11851851851851847
LOO3,0.5477031802120141,0.541033434650456,0.5491453258250197,0.46643109524154375,0.09540636042402828
LOO4,0.7244897959183674,0.7222222222222222,0.7204839382561535,0.6808510623811679,0.44667503136762854
LOO5,0.7628865979381443,0.7959183673469388,0.8337606837606837,0.7777777760493827,0.5254201233780047
LOO6,0.5619047619047619,0.6206896551724138,0.6388888888888888,0.5111111099753086,0.11049723756906082
LOO7,0.5816326530612245,0.6140350877192983,0.6243686868686869,0.49999999886363633,0.14908936891147817
LOO8,0.46111111111111114,0.4666666666666667,0.47771604938271606,0.3777777773580247,-0.07777777777777772
LOO9,0.6388888888888888,0.6213592233009708,0.618641975308642,0.5666666660370371,0.2777777777777778
LOO10,0.4424778761061947,0.44871794871794873,0.46684714375392333,0.6018518512945816,-0.09996909765142137
LOO11,0.7833333333333333,0.7297297297297297,0.8219135802469135,0.6666666659259259,0.5666666666666667
LOO12,0.5888888888888889,0.5655737704918032,0.6310493827160493,0.411111110654321,0.1777777777777778
