LOO,Accuracy,Precision,AUROC,Specificity,Kappa
LOO1,0.4423076808452606,0.09090909090909091,0.5290927021696252,0.8717948706771861,-0.11538461538461542
LOO2,0.5222222208976746,0.5340909090909091,0.6065843621399176,0.6962962957805213,0.0444444444444444
LOO3,0.6310679316520691,0.6194690265486725,0.5516071260250731,0.5825242712791027,0.2621359223300971
LOO4,0.5918367505073547,0.6,0.5531914893617021,0.5319148924852874,0.1795730431142737
LOO5,0.8041236996650696,0.9024390243902439,0.8333333333333334,0.9111111090864197,0.6125709480765188
LOO6,0.761904776096344,0.7397260273972602,0.7122222222222223,0.5777777764938271,0.49567723342939474
LOO7,0.7142857313156128,0.696969696969697,0.8063973063973064,0.545454544214876,0.40759930915371323
LOO8,0.7222222089767456,0.7127659574468085,0.7559259259259259,0.6999999992222222,0.4444444444444444
LOO9,0.7111111283302307,0.6637931034482759,0.7122222222222222,0.5666666660370371,0.4222222222222223
LOO10,0.5309734344482422,0.5638297872340425,0.4521343377275581,0.6203703697959534,0.06887437810945263
LOO11,0.6333333253860474,0.6016949152542372,0.7556790123456789,0.4777777772469136,0.2666666666666667
LOO12,0.5277777910232544,0.5196850393700787,0.5080246913580246,0.3222222218641976,0.05555555555555558
