LOO,Accuracy,Precision,Specificity,AUROC,Kappa
LOO1,0.6740259740259741,0.7648148148148148,0.8287878728395974,0.7667275725717284,0.34805194805194806
LOO2,0.6744653092006033,0.6679405783470499,0.5733061817961627,0.7156102673584808,0.34893061840120665
LOO3,0.6268867924528302,0.6325081907535494,0.6058490554187753,0.6929426842292631,0.2537735849056604
LOO4,0.675952380952381,0.793939393939394,0.6666666591574075,0.6588333333333334,0.3324242424242424
LOO5,0.5992857142857142,0.5957894736842105,0.236666663850926,0.5561851851851852,0.14787910922587486
LOO6,0.4951948051948052,0.5433642930856554,0.15833333153935186,0.4508644133644134,-0.09796266924451995
LOO7,0.5496918767507003,0.5496918767507003,0.0,0.5,0.0
LOO8,0.7666666666666666,0.7493506493506493,0.5888888856172839,0.8058641975308642,0.5333333333333334
LOO9,0.6722222222222223,0.6031291172595521,0.8444444397530864,0.8617283950617285,0.34444444444444444
LOO10,0.44787499999999997,0.47727272727272735,0.0472222218274177,0.4387017642642642,-0.12019917012448134
LOO11,0.4833333333333333,0.4721774193548387,0.18888888783950616,0.5842592592592593,-0.033333333333333326
LOO12,0.7,0.6414452214452215,0.43333333092592596,0.7481481481481482,0.4
