LOO,Accuracy,Precision,Specificity,AUROC,Kappa
LOO1,0.804437232017517,0.8186329431438126,0.7965367909265663,0.8952446543355634,0.6088744588744589
LOO2,0.5794653058052063,0.5589972881800125,0.6127767698528276,0.6672805453751288,0.15893061840120665
LOO3,0.7595283091068268,0.7729044431320107,0.8728301869848487,0.7372883588465646,0.5190566037735849
LOO4,0.5106746077537536,0.3757636387888489,0.5927777709649692,0.5503086419753086,-0.007222222222222241
LOO5,0.6677381008863449,0.6715831227595934,0.48722221701280877,0.709375,0.30181592039801
LOO6,0.7529437184333801,0.6786259195350104,0.5749999935902779,0.7961360398860399,0.44917452830188676
LOO7,0.469019615650177,0.3318616557734205,0.2722222188503087,0.6672377622377621,-0.07723112128146456
LOO8,0.5555555641651153,0.5225840336134453,0.4777777751234568,0.5271604938271606,0.11111111111111112
LOO9,0.7888888835906982,0.6900000000000001,0.9999999944444443,0.8876543209876543,0.5777777777777777
LOO10,0.5952499985694886,0.6793133718133718,0.46349999804744674,0.6194874587087087,0.22008015267175574
LOO11,0.6222222208976745,0.49423076923076925,0.5111111082716049,0.6512345679012346,0.24444444444444446
LOO12,0.6444444537162781,0.6305059523809524,0.5111111082716049,0.7074074074074074,0.2888888888888889
