data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,,1.600000000000001e-05,0,,,,,,,,,,,
,,,,0,,81,,,0.5,0.5,0.5,0.0,0.0,0.8396565914154053,0.0,0.0,0.5244714617729187
-0.18465879559516907,0.3767712712287903,-0.5606752038002014,0.33273711800575256,0,,81,0.4396551847457886,1.130076289176941,,,,,,,,,
,,,,,1.836671803204736e-05,82,,,,,,,,,,,
,,,,1,,163,,,0.4972222149372101,0.4958333373069763,0.4958333373069763,-0.008333333767950535,0.0,0.7074910402297974,0.0,0.0,0.5319560170173645
-0.1849021017551422,0.3778481185436249,-0.5616364479064941,0.3336491286754608,1,,163,0.49731799960136414,0.7561920881271362,,,,,,,,,
,,,,,2.5408524688155863e-05,164,,,,,,,,,,,
,,,,2,,245,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6984666585922241,0.5,1.0,0.5345447659492493
-0.18506008386611938,0.37871861457824707,-0.5623069405555725,0.3342960476875305,2,,245,0.5021072626113892,0.7089059948921204,,,,,,,,,
,,,,,3.695181610591724e-05,246,,,,,,,,,,,
,,,,3,,327,,,0.5263888835906982,0.5138888955116272,0.5138888955116272,0.02777777798473835,0.3965517282485962,0.694744884967804,0.5227272510528564,0.3194444477558136,0.5408873558044434
-0.1850406378507614,0.37944748997688293,-0.5624375343322754,0.33459407091140747,3,,327,0.4915708899497986,0.7058848142623901,,,,,,,,,
,,,,,5.271201191087729e-05,328,,,,,,,,,,,
,,,,4,,409,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6958156824111938,0.5,1.0,0.5479089617729187
-0.1850367933511734,0.37971219420433044,-0.5625284314155579,0.33471977710723877,4,,409,0.5009578466415405,0.7033010125160217,,,,,,,,,
,,,,,7.230057106553402e-05,410,,,,,,,,,,,
,,,,5,,491,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.7092549800872803,0.5,1.0,0.5577777624130249
-0.1849912405014038,0.3796730935573578,-0.5625104904174805,0.334527850151062,5,,491,0.503639817237854,0.7076672315597534,,,,,,,,,
,,,,,9.52345706930838e-05,492,,,,,,,,,,,
,,,,6,,573,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6944389939308167,0.5,1.0,0.5670987367630005
-0.18500368297100067,0.37897321581840515,-0.5624420046806335,0.33416566252708435,6,,573,0.5084291100502014,0.7009732127189636,,,,,,,,,
,,,,,0.0001209486117261777,574,,,,,,,,,,,
,,,,7,,655,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.7108473181724548,0.5,1.0,0.5801350474357605
-0.18430784344673157,0.3794921934604645,-0.5619144439697266,0.33350470662117004,7,,655,0.49885058403015137,0.7080404758453369,,,,,,,,,
,,,,,0.00014880875786700505,656,,,,,,,,,,,
,,,,8,,737,,,0.5,0.5,0.5,0.0,0.0,0.7109555006027222,0.0,0.0,0.5880516767501831
-0.1832241714000702,0.37992826104164124,-0.5609704256057739,0.3324635922908783,8,,737,0.5180076360702515,0.7008410692214966,,,,,,,,,
,,,,,0.00017812816421715994,738,,,,,,,,,,,
,,,,9,,819,,,0.5,0.5,0.5,0.0,0.0,0.6938869953155518,0.0,0.0,0.5980169773101807
-0.18204668164253235,0.3793245553970337,-0.5590019822120667,0.330676406621933,9,,819,0.5111111402511597,0.7007479071617126,,,,,,,,,
,,,,,0.00020818401027978978,820,,,,,,,,,,,
,,,,10,,901,,,0.550000011920929,0.550000011920929,0.550000011920929,0.10000000149011612,0.647826075553894,0.6883124709129333,0.5321428775787354,0.8277778029441833,0.613954484462738
-0.18000450730323792,0.37980368733406067,-0.5571266412734985,0.3287322521209717,10,,901,0.5065134167671204,0.6976533532142639,,,,,,,,,
,,,,,0.00023823531987942742,902,,,,,,,,,,,
,,,,11,,983,,,0.512499988079071,0.512499988079071,0.512499988079071,0.02500000037252903,0.6685552597045898,0.6872622966766357,0.5064377784729004,0.9833333492279053,0.641033947467804
-0.17644529044628143,0.38285478949546814,-0.5543559789657593,0.3259621560573578,11,,983,0.5312260389328003,0.6935088634490967,,,,,,,,,
,,,,,0.0002675412286794467,984,,,,,,,,,,,
,,,,12,,1065,,,0.5666666626930237,0.5666666626930237,0.5666666626930237,0.13333334028720856,0.30666667222976685,0.6782233119010925,0.7666666507720947,0.19166666269302368,0.6813580393791199
