data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,,1.600000000000001e-05,0,,,,,,,,,,,
,,,,0,,81,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.7567606568336487,0.5,1.0,0.5339467525482178
0.0930071473121643,0.4389231204986572,-0.24902606010437012,0.27270209789276123,0,,81,0.48946359753608704,0.9607776403427124,,,,,,,,,
,,,,,1.836671803204736e-05,82,,,,,,,,,,,
,,,,1,,163,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.7045437097549438,0.5,1.0,0.5390007495880127
0.0923437625169754,0.4380301833152771,-0.24988606572151184,0.2724789083003998,1,,163,0.4965517222881317,0.7284004092216492,,,,,,,,,
,,,,,2.5408524688155863e-05,164,,,,,,,,,,,
,,,,2,,245,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6977037191390991,0.5,1.0,0.5381057262420654
0.09201472997665405,0.43775686621665955,-0.25018829107284546,0.2724609375,2,,245,0.5122605562210083,0.7047147750854492,,,,,,,,,
,,,,,3.695181610591724e-05,246,,,,,,,,,,,
,,,,3,,327,,,0.5,0.5,0.5,0.0,0.0,0.695263683795929,0.0,0.0,0.5204745531082153
0.09172793477773666,0.4371911287307739,-0.2505080997943878,0.2724609375,3,,327,0.4967432916164398,0.7048794627189636,,,,,,,,,
,,,,,5.271201191087729e-05,328,,,,,,,,,,,
,,,,4,,409,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.69427490234375,0.5,1.0,0.5477083325386047
0.09177432954311371,0.437452495098114,-0.25046563148498535,0.27258235216140747,4,,409,0.5090038180351257,0.6996552348136902,,,,,,,,,
,,,,,7.230057106553402e-05,410,,,,,,,,,,,
,,,,5,,491,,,0.5,0.5,0.5,0.0,0.0,0.6942803263664246,0.0,0.0,0.5307831764221191
0.09160572290420532,0.43735408782958984,-0.251244455575943,0.2727157473564148,5,,491,0.4990421533584595,0.7037450671195984,,,,,,,,,
,,,,,9.52345706930838e-05,492,,,,,,,,,,,
,,,,6,,573,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6947794556617737,0.5,1.0,0.5177854895591736
0.09194952994585037,0.4382614195346832,-0.25113409757614136,0.27315911650657654,6,,573,0.484674334526062,0.7029654383659363,,,,,,,,,
,,,,,0.0001209486117261777,574,,,,,,,,,,,
,,,,7,,655,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6942640542984009,0.5,1.0,0.5691782236099243
0.09171287715435028,0.4381089508533478,-0.2516489326953888,0.2731993496417999,7,,655,0.5024904012680054,0.7022138833999634,,,,,,,,,
,,,,,0.00014880875786700505,656,,,,,,,,,,,
,,,,8,,737,,,0.5,0.5,0.5,0.0,0.0,0.7020629644393921,0.0,0.0,0.5561805367469788
0.09092278778553009,0.4372466802597046,-0.25347596406936646,0.2733806371688843,8,,737,0.5032566785812378,0.7037019729614258,,,,,,,,,
,,,,,0.00017812816421715994,738,,,,,,,,,,,
,,,,9,,819,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6942084431648254,0.5,1.0,0.5662152767181396
0.09008363634347916,0.43592965602874756,-0.2546914219856262,0.273248553276062,9,,819,0.4990421533584595,0.7027704119682312,,,,,,,,,
,,,,,0.00020818401027978978,820,,,,,,,,,,,
,,,,10,,901,,,0.5,0.5,0.5,0.0,0.0,0.6966078281402588,0.0,0.0,0.5841087698936462
0.08985600620508194,0.434586763381958,-0.2533494830131531,0.2721634805202484,10,,901,0.49827587604522705,0.7029411792755127,,,,,,,,,
,,,,,0.00023823531987942742,902,,,,,,,,,,,
,,,,11,,983,,,0.5,0.5,0.5,0.0,0.0,0.6936171054840088,0.0,0.0,0.5892399549484253
0.08983444422483444,0.43294215202331543,-0.2505303621292114,0.27023935317993164,11,,983,0.5128352642059326,0.7002590894699097,,,,,,,,,
,,,,,0.0002675412286794467,984,,,,,,,,,,,
,,,,12,,1065,,,0.5069444179534912,0.5069444179534912,0.5069444179534912,0.013888888992369175,0.0379403792321682,0.693450927734375,0.7777777910232544,0.01944444514811039,0.6080439686775208
0.09204798191785812,0.4345909059047699,-0.24402791261672974,0.26873353123664856,12,,1065,0.5049808621406555,0.699404239654541,,,,,,,,,
