LOO,LearningRate,Accuracy,Precision,AUC,Specificity,Kappa
LOO1,"(0.001, 0.3)",0.6346153846153846,0.7560975609756098,0.6150558842866536,0.8717948706771861,0.2692307692307693
LOO2,"(0.0001, 0.3)",0.6777777777777778,0.7307692307692307,0.7221399176954733,0.792592592005487,0.3555555555555555
LOO3,"(0.0001, 0.3)",0.7087378640776699,0.7721518987341772,0.7816947874446225,0.8252427176453955,0.41747572815533984
LOO4,"(0.0005, 0.2)",0.7551020408163265,0.7076923076923077,0.8356278681685441,0.595744679583522,0.503588011819333
LOO5,"(0.0001, 0.2)",0.8041243195876289,0.8837214516129032,0.8576923333333333,0.8888888888888888,0.61142784598698486
LOO6,"(0.0001, 0.2)",0.7238095238095238,0.7540983606557377,0.7562962962962964,0.6666666651851851,0.43454038997214484
LOO7,"(0.0005, 0.3)",0.7244897959183674,0.7076923076923077,0.7268518518518519,0.5681818168904958,0.4299870745368376
LOO8,"(5e-05, 0.3)",0.7111111111111111,0.7021276595744681,0.755679012345679,0.6888888881234568,0.4222222222222223
LOO9,"(0.0003, 0.2)",0.7166666666666667,0.6695652173913044,0.7590123456790123,0.5777777771358025,0.43333333333333335
LOO10,"(0.0004, 0.2)",0.5973451327433629,0.6238532110091743,0.5989485247959825,0.6203703697959534,0.19594964422550631
LOO11,"(0.0002, 0.3)",0.6777777777777778,0.6230772836879432,0.7055567901234568,0.4555554440617284,0.35555555555555554
LOO12,"(4e-05, 0.3)",0.5666666666666666,0.5461547288135594,0.6301230740740741,0.3444444444444444,0.13333333333333333
