LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8295454545454545,0.8520558070961297,0.6590909090909092,0.834199134199134,0.8408477164970671
LOO2,0.7553559577677225,0.7746941597955798,0.5107119155354449,0.6739713423831071,0.8225713741756129
LOO3,0.7785892364883341,0.7840273837772012,0.5571784729766682,0.8186762004005645,0.83334352343267
LOO4,0.8114285714285714,0.8683201058201059,0.5988235294117648,0.7666666666666666,0.8536249999999999
LOO5,0.9184523809523808,0.923471449185735,0.8316666666666667,0.8805555555555555,0.9493055555555555
LOO6,0.8673593073593073,0.879844488844489,0.7256718429476062,0.861111111111111,0.8883903133903134
LOO7,0.746750700280112,0.8016386554621848,0.5159419786772859,0.8883333333333333,0.8330318570318571
LOO8,0.7611111111111111,0.7741021841598972,0.5222222222222223,0.8222222222222222,0.80679012345679
LOO9,0.9944444444444445,0.9947368421052631,0.9888888888888889,0.9888888888888889,0.9987654320987656
LOO10,0.64975,0.6817983419545919,0.3032116858237548,0.6257685185185184,0.6702989333083084
LOO11,0.7388888888888889,0.6413003095975233,0.47777777777777775,0.9111111111111111,0.7506172839506173
LOO12,0.8388888888888889,0.8557142857142856,0.6777777777777778,0.7888888888888889,0.8753086419753087
